baseMean.st10	log2FoldChange.st10	lfcSE.st10	stat.st10	pvalue.st10	padj.st10	baseMean.st15	log2FoldChange.st15	lfcSE.st15	stat.st15	pvalue.st15	padj.st15
cdc6	8687.59763003747	-0.696418347602855	0.188283447568411	-3.69877626842274	0.000216641457942744	0.0181217651981836	8687.59763003747	-0.853597327028721	0.17693332360189	-4.82440113400775	1.40424550406499e-06	3.1813984610908e-05
cdh26	743.177122758366	0.913838445457402	0.296171140757204	3.08550807185684	0.00203204708438396	0.0898455103738335	743.177122758366	-0.558628902157673	0.221994183769053	-2.51641233420255	0.0118556390146553	0.0530134329547067
cenpl	716.584146676124	-0.611212933222771	0.151675212722862	-4.02974831714638	5.58366041768992e-05	0.00756470127169452	716.584146676124	-0.38755893687535	0.150692827364057	-2.57184727139701	0.0101157506325063	0.047042613318082
cep85	704.946459684448	0.860764816097848	0.152895874722984	5.6297451952669	1.8047604031836e-08	1.11714668957065e-05	704.946459684448	0.396122695610039	0.14908501500888	2.65702556079459	0.00788334655720777	0.0390673600357985
chad	120.515523844751	-2.98195200574225	0.80576335266921	-3.70077888981187	0.000214938705550526	0.0181016406443232	120.515523844751	-3.02704566524055	0.507457388914556	-5.96512284847276	2.44450055352811e-09	1.09652309929749e-07
chd8	2609.97144520043	0.696923687636245	0.191224695108406	3.64452764451347	0.000267883342057985	0.021258947273576	2609.97144520043	0.517877283669206	0.17885226250648	2.89555902962336	0.00378483838354583	0.0219044897946063
cir1	505.03402743821	0.707584337658297	0.200901172982347	3.52205179867453	0.000428220463765434	0.0311845255377416	505.03402743821	0.772919515266797	0.194757617477808	3.96862276955543	7.22892117953688e-05	0.000906800970077323
cpne3	1044.54240387498	1.4676697700079	0.383828033881132	3.82376908525244	0.000131427010414953	0.0131215031365897	1044.54240387498	1.34165210397117	0.320278120416486	4.18902203568107	2.80159197579941e-05	0.000407610802798697
cpsf7	2735.61449383707	-0.483594475059321	0.128847233496513	-3.75323910289784	0.000174564203564495	0.0157744878841493	2735.61449383707	-0.710345675627932	0.121098112696773	-5.86586908589256	4.46786218611447e-09	1.8802253366565e-07
cse1l	790.6753325054	0.567203507089587	0.170770992273642	3.32142771754061	0.000895581765250822	0.0513301030268758	790.6753325054	0.432882589176231	0.160619111012968	2.69508769190785	0.00703701084274824	0.0356519109201371
ctdsp2	3426.94076441597	0.512233860324244	0.0900294801242068	5.68962366124468	1.273196590768e-08	9.27186693747519e-06	3426.94076441597	0.729139067304043	0.0841809753269558	8.66156592356045	4.65327292669734e-18	1.27801732749907e-15
cyb5r4	217.158314056358	0.701550651724635	0.20349822707707	3.44745338473606	0.000565898052673336	0.0376359695657229	217.158314056358	1.04985037059005	0.238695779069991	4.39827790286235	1.09113207805047e-05	0.000182301736199361
cygb	1925.54928276904	1.57524002020488	0.381829455367676	4.12550681478472	3.69919227931028e-05	0.00551759041179052	1925.54928276904	-0.584829951494047	0.192195458174704	-3.04289163255066	0.00234316697671822	0.0150893784535268
dars	414.447874300362	0.860535056025078	0.24183316601624	3.5583831208962	0.000373144768470175	0.0273345102583477	414.447874300362	0.755859903303625	0.225196994333945	3.35643868400286	0.000789532257500665	0.00648485177920929
dbf4b	1058.75475302706	-0.475451216097072	0.116708032657926	-4.0738516901457	4.62419353464328e-05	0.00666357323367338	1058.75475302706	-0.281314199284518	0.109305948814401	-2.57364034012625	0.0100634824479594	0.0469019999174769
dbn1	1538.92337333712	0.489706433623666	0.109915690568693	4.45529142463621	8.37793120675254e-06	0.00157149679302419	1538.92337333712	0.395770249031277	0.102445018722124	3.8632454165954	0.000111890495533972	0.00130137125377737
degs1	1577.50426667784	-1.43350598620682	0.187379649068585	-7.65027575477059	2.00548780884199e-14	3.54684843906626e-11	1577.50426667784	-0.973226739076342	0.174850598031355	-5.5660475287698	2.60582196100609e-08	8.95724965555693e-07
dmrta2	181.589533561799	-1.48383465131468	0.384596628754739	-3.85815823742162	0.000114244677034154	0.0118263192496102	181.589533561799	1.50156274752837	0.268728797004902	5.58765106034012	2.30161524980068e-08	8.04280953920303e-07
emb	311.005431477423	1.45838319556133	0.415732334872673	3.50798596411316	0.000451512871081493	0.0321248812872925	311.005431477423	0.772942399899551	0.240013821998986	3.22040786427215	0.00128008332643925	0.00943933324324376
enoph1	247.271502431971	-0.721695119238423	0.226897540118341	-3.18070931426587	0.00146914963811546	0.0730444679512828	247.271502431971	-0.848733146564715	0.217602058585526	-3.90039116395182	9.60373928052988e-05	0.00115119860977561
erbb3	343.404499062837	1.08528112460105	0.304938198225494	3.55901992901037	0.000372241288240262	0.0273345102583477	343.404499062837	0.675358210104436	0.245848267469247	2.74705295691749	0.00601334241085046	0.0314299573864113
etv6	722.808097554627	0.761224107427717	0.21009112434315	3.62330445804259	0.000290863113530989	0.0227904135792003	722.808097554627	-0.655408496733432	0.196985569977663	-3.32719039677755	0.000877264116790442	0.00704295083232273
fam195b	1141.0579246905	-0.583438239247066	0.176110644771866	-3.31290729190648	0.000923315800142268	0.0517223964061596	1141.0579246905	-0.739606556881983	0.164780362893626	-4.48843869435727	7.1747064510439e-06	0.000128384833493063
fancd2	71.4159790029108	-1.24025797358482	0.32483422342916	-3.81812593664502	0.000134469281196191	0.0133178376096708	71.4159790029108	0.911717879815236	0.320310657931812	2.8463551156931	0.00442228480230461	0.0249121513422377
fez2	296.347913987073	0.804656274330863	0.24729017485649	3.25389504373892	0.00113834328783124	0.0607443530316841	296.347913987073	0.865548323368882	0.264513919220959	3.27222221771193	0.00106705671422959	0.00814469666565784
fgfr4	5681.3907364349	-0.848462538938762	0.225191240484278	-3.76774219598474	0.000164730692238414	0.0151702083358206	5681.3907364349	-1.8635679362016	0.210811938755572	-8.83995445040864	9.57576338094066e-19	3.11178314561258e-16
flna	7066.87494499284	-0.840217860186467	0.184419981216668	-4.5560023086616	5.21363633889422e-06	0.0010939799639917	7066.87494499284	0.907638256799281	0.172349444973658	5.26626736127874	1.39225479941181e-07	4.0587986750078e-06
fos	77.3545648786828	-1.29645782063825	0.251148733797571	-5.16211171378316	2.44179488702423e-07	0.000107962216790571	77.3545648786828	-1.80402973916219	0.263158437188618	-6.85529887787394	7.116357713491e-12	5.54261592063192e-10
foxh1	2178.3139361838	-0.893148977912908	0.193384072869402	-4.61852398008019	3.86479322355899e-06	0.000899121912194741	2178.3139361838	-0.676017923809456	0.182544350017891	-3.70330784679559	0.000212806383138573	0.00221803190947694
foxn3	1921.91205391371	-0.634419801592193	0.169126786375196	-3.75114915377612	0.000176025940835946	0.0157913126633986	1921.91205391371	-0.34884406087866	0.157937679008795	-2.2087450130202	0.0271923816195253	0.0981999386975014
fscn1	3606.24904928118	1.07042061940579	0.211281557304759	5.06632302914059	4.05573448146931e-07	0.000161967718969645	3606.24904928118	0.760732877026204	0.198945868021731	3.82381843157009	0.000131400695714905	0.00148740266913726
galnt5	317.930837734294	1.26701458894214	0.399689503219473	3.16999715713427	0.00152440429059186	0.0742997051871152	317.930837734294	0.883375640231548	0.300735548777868	2.93738350461533	0.00330994503046905	0.0197323646047193
gata2	4319.36013637182	-0.603143425843596	0.175016041257668	-3.44621796670407	0.000568491624296461	0.0376359695657229	4319.36013637182	-0.916549313187121	0.16302732922295	-5.62205930475426	1.8869445988342e-08	6.71366311244304e-07
gmnc	37.215637420167	1.46155461238586	0.477940125888066	3.05802868020367	0.00222798251494571	0.0954409118859098	37.215637420167	-2.03805736795178	0.707299350022419	-2.88146365168749	0.003958328871239	0.0227599970124195
golph3	993.222143404022	-0.618534126757833	0.182002570350726	-3.39849116177806	0.000677586522915007	0.0430180571983989	993.222143404022	-0.715799128480853	0.170970931035625	-4.18667152448098	2.83075029979053e-05	0.000411089016170879
got2	960.229569865792	-0.999946427162555	0.221098487926565	-4.52262897200218	6.10762479352716e-06	0.00123954745809617	960.229569865792	-1.98356257804987	0.211681070751393	-9.37052411445635	7.21732374581525e-21	3.22820580687822e-18
gpbp1	579.779816273554	-0.990633442694892	0.231675871447827	-4.27594568439115	1.90327626541169e-05	0.00336608002368525	579.779816273554	-1.83983096483158	0.228847285926151	-8.03955772245992	9.01633065313672e-16	1.62242133764202e-13
gpi	521.08971402595	-0.587146889052434	0.177065713446619	-3.31598296261599	0.000913213959937182	0.0516236932603758	521.08971402595	-1.4369402370605	0.2059734095252	-6.97633854958688	3.02972140463348e-12	2.6204579331236e-10
gtf3a	568.293763369153	-0.740737952937214	0.221937978967357	-3.3375898815685	0.000845083841186183	0.0498145040891645	568.293763369153	-0.837205059305045	0.204605081107784	-4.09180971837163	4.28019801156433e-05	0.000589327175646787
