Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
fscn1	fscn1	3606.24904928118	-1.0704206194058	0.211281557304374	-5.0663230291499	4.05573448127099e-07	0.000174226503506728
smn2	smn2	729.232025059924	-1.0840852035189	0.213629231687919	-5.07461078689169	3.88289952357987e-07	0.00017236190985171
erbb3	erbb3	343.404499062837	-1.08528112460106	0.304938198225033	-3.55901992901577	0.000372241288232607	0.0292304051862597
prpsap1	prpsap1	214.697672906436	-1.09095527781208	0.355355449675199	-3.07003953030474	0.00214030440527059	0.0989667839062099
nol6	nol6	1167.09048651324	-1.09209015410046	0.292706491710059	-3.73100763061392	0.000190715446340055	0.0175155696476587
Xetro.A00693	Xetro.A00693	690.115747285163	-1.11024335121039	0.295175291905739	-3.76130178119697	0.000169031344652318	0.0164305869834665
txndc9	txndc9	535.508593445169	-1.11141195849313	0.295012662053693	-3.76733646195448	0.000164998557893074	0.0161984015343894
kcnk5	kcnk5	552.914156326861	-1.11452890678877	0.235357303776593	-4.73547618410307	2.18541368456466e-06	0.000632677261681468
micu1	micu1	274.820651099395	-1.11811694049991	0.20913641605645	-5.34635221155414	8.97444934878552e-08	5.05277600640713e-05
cct3	cct3	1174.72159038658	-1.1405798055387	0.274883570356481	-4.14931967035915	3.33464862306121e-05	0.00541097655831521
ankrd39	ankrd39	147.838508939081	-1.16715278109577	0.341732936800039	-3.41539446570441	0.000636897040782161	0.0437193705778146
cdk5	cdk5	150.333150432815	-1.17814129392146	0.289618494249816	-4.06790766927071	4.74371693516562e-05	0.00717864527563642
cd276	cd276	210.215621810015	-1.18485799174482	0.356947073453127	-3.31942206524467	0.000902039794616188	0.0548514335383734
gapdh	gapdh	7358.01039942821	-1.2056172167154	0.319812392106735	-3.76976391932003	0.000163402037900313	0.0161984015343894
Xetro.A00692	Xetro.A00692	64.2999942354859	-1.21256140558238	0.368979135873978	-3.28626008272869	0.00101527220418404	0.0592999120312233
pabpn1l	pabpn1l	125.054596362721	-1.21967204436811	0.285862387936769	-4.26664050899168	1.98438532829321e-05	0.00367028603012231
gps2	gps2	138.82728892497	-1.22581902263539	0.305474031902615	-4.01284199183967	5.99920721960868e-05	0.00832202526495091
rbm23	rbm23	267.894368741314	-1.22990133903564	0.270272774383732	-4.5505927921894	5.34949888518264e-06	0.0011678569943275
adh5	adh5	172.736269464348	-1.23705185145294	0.352315431473467	-3.51120541691657	0.000446079557049422	0.0341404681679721
prmt3	prmt3	376.52954541252	-1.2383838745773	0.26769719932061	-4.62606212437113	3.72683554935192e-06	0.000936420170013577
slc13a4	slc13a4	1277.55428504668	-1.25546764538433	0.317455414015824	-3.9547841679643	7.66037741622539e-05	0.00998357203288283
gins3	gins3	114.71891853269	-1.25564997490725	0.391865689130947	-3.20428659547086	0.00135397623926261	0.0729996015314175
fuk	fuk	163.719007847056	-1.26198792517275	0.360295315106706	-3.50264872247645	0.000460656537609237	0.0348554722235353
galnt5	galnt5	317.930837734294	-1.26701458894228	0.399689503218643	-3.16999715714122	0.00152440429055537	0.0789902410012677
Xetro.K02408	Xetro.K02408	85.3940542949798	-1.26810378359432	0.326563341326431	-3.88317861534473	0.000103099775023975	0.0120436816139848
