baseMean.st10	log2FoldChange.st10	lfcSE.st10	stat.st10	pvalue.st10	padj.st10	baseMean.st15	log2FoldChange.st15	lfcSE.st15	stat.st15	pvalue.st15	padj.st15
c1orf93	1543.49817095567	1.37481598033958	0.298084478598988	4.61216896230652	3.98488863765464e-06	0.000949902431579322	1543.49817095567	1.66244354502692	0.27794858715382	5.98111888982873	2.21610043715426e-09	1.01257269253835e-07
c2orf44	522.238608038207	1.44892211735529	0.256329542102622	5.65257560821926	1.58061232536038e-08	1.16938968537912e-05	522.238608038207	0.916553113228134	0.241984565902027	3.78765112482101	0.000152078185293516	0.0016996376574197
c5	1467.93376778662	-2.03560837602228	0.547249717170443	-3.71970658394746	0.000199454352372131	0.0181926959626005	1467.93376778662	-1.46980642661976	0.220594724433294	-6.6629264611639	2.68427996390292e-11	1.9257583179946e-09
c5orf24	67.5208646795311	1.16431450702242	0.323740709830111	3.59644144733423	0.000322600156332228	0.0261955261090017	67.5208646795311	-0.643596025121538	0.270450045539862	-2.37972237659201	0.0173256856557767	0.0712577810823189
calr	17759.6029164983	-0.742270194222842	0.160341641615071	-4.62930394591317	3.66896906376176e-06	0.000936420170013577	17759.6029164983	-0.635145728700923	0.149772114545799	-4.24074755589233	2.22776580389326e-05	0.000339954059872258
capza2	1843.88116054163	-0.64359093699879	0.153805050919197	-4.18445904833716	2.85845969169162e-05	0.00488027021977658	1843.88116054163	-0.526586647204576	0.144954304269036	-3.63277689379426	0.000280387438502005	0.00282795345893721
caskin2	571.363767867365	-1.00660400623166	0.324533777352792	-3.10169257093202	0.00192417674726234	0.0925063600840885	571.363767867365	-1.77073178668962	0.280012397550477	-6.3237620983207	2.55270639792353e-10	1.47712262551378e-08
cct3	1174.72159038658	-1.1405798055387	0.274883570356481	-4.14931967035915	3.33464862306121e-05	0.00541097655831521	1174.72159038658	-0.5856163922175	0.256394234814233	-2.28404664653166	0.0223687896620042	0.0866772435375833
cd276	210.215621810015	-1.18485799174482	0.356947073453127	-3.31942206524467	0.000902039794616188	0.0548514335383734	210.215621810015	-1.17494550152029	0.337204213573537	-3.48437372436349	0.000493290169400042	0.00447688359235127
cdc37	1050.75457971423	-0.741471533314607	0.19144773301546	-3.872971080074	0.000107516589871841	0.0121338849773161	1050.75457971423	-0.907123888008982	0.18139663016266	-5.00077585341887	5.71000660014944e-07	1.44851447432591e-05
cdc6	8687.59763003747	0.696418347602851	0.18828344756822	3.69877626842647	0.000216641457939564	0.0193625120495381	8687.59763003747	0.853597327028725	0.176933323601711	4.82440113401267	1.40424550403032e-06	3.22204232509418e-05
cdh26	743.177122758366	-0.913838445457433	0.296171140756747	-3.08550807186171	0.0020320470843507	0.0952844050080924	743.177122758366	0.558628902157695	0.22199418376851	2.51641233420881	0.0118556390144448	0.0535530360609749
cenpl	716.584146676124	0.611212933222767	0.15167521272338	4.02974831713258	5.58366041801774e-05	0.00805068125956683	716.584146676124	0.387558936875342	0.150692827364517	2.5718472713891	0.0101157506327372	0.0475307053259731
cep85	704.946459684448	-0.860764816097839	0.152895874723495	-5.629745195248	1.8047604033813e-08	1.20169971459144e-05	704.946459684448	-0.396122695610033	0.149085015009343	-2.6570255607863	0.00788334655740168	0.0394665171037587
chad	120.515523844751	2.98195200574276	0.805763352668086	3.70077888981767	0.000214938705545616	0.0193401266334525	120.515523844751	3.02704566524112	0.507457388912607	5.96512284849679	2.44450055316833e-09	1.11053169829467e-07
chd8	2609.97144520043	-0.696923687636242	0.191224695108254	-3.64452764451635	0.000267883342054989	0.0227223087015687	2609.97144520043	-0.517877283669207	0.178852262506337	-2.89555902962568	0.00378483838351785	0.02212706953196
cir1	505.03402743821	-0.707584337658291	0.200901172982466	-3.52205179867241	0.000428220463768852	0.0333486076959638	505.03402743821	-0.772919515266791	0.194757617477914	-3.96862276955325	7.22892117960324e-05	0.000918385779668345
cpne3	1044.54240387498	-1.46766977000798	0.383828033879366	-3.82376908527026	0.000131427010405452	0.0140017079805553	1044.54240387498	-1.34165210397123	0.320278120414601	-4.18902203570589	2.801591975493e-05	0.000412818222782913
